PC #,Date,Location,Time Bin,Species,# Individuals,Notes
1,2/21/2023,A5,Evening (3-5pm),Anna's Hummingbird,1,
1,2/21/2023,A5,Evening (3-5pm),American Crow,1,
1,2/21/2023,A5,Evening (3-5pm),Yellow-rumped Warbler,10,
2,2/21/2023,A4,Evening (3-5pm),American Crow,4,
2,2/21/2023,A4,Evening (3-5pm),Dark-eyed Junco,2,
2,2/21/2023,A4,Evening (3-5pm),Song Sparrow,1,
3,2/21/2023,A3,Evening (3-5pm),American Crow,3,
4,2/22/2023,C1,Morning (7-9am),Anna's Hummingbird,1,
4,2/22/2023,C1,Morning (7-9am),American Crow,1,
4,2/22/2023,C1,Morning (7-9am),House Finch,2,
4,2/22/2023,C1,Morning (7-9am),Lesser Goldfinch,2,
4,2/22/2023,C1,Morning (7-9am),Song Sparrow,1,
5,2/22/2023,C2,Morning (7-9am),gull sp.,1,
5,2/22/2023,C2,Morning (7-9am),California Scrub-Jay,1,
5,2/22/2023,C2,Morning (7-9am),American Crow,1,
5,2/22/2023,C2,Morning (7-9am),American Robin,1,
5,2/22/2023,C2,Morning (7-9am),House Finch,1,
5,2/22/2023,C2,Morning (7-9am),White-crowned Sparrow,1,
5,2/22/2023,C2,Morning (7-9am),Song Sparrow,1,
6,2/22/2023,B1,Morning (7-9am),Anna's Hummingbird,3,
6,2/22/2023,B1,Morning (7-9am),American Crow,4,
6,2/22/2023,B1,Morning (7-9am),American Robin,2,
6,2/22/2023,B1,Morning (7-9am),House Finch,2,
6,2/22/2023,B1,Morning (7-9am),Yellow-rumped Warbler,3,
7,2/27/2023,C4,Mid-day (11am-1pm),Yellow-rumped Warbler,1,
7,2/27/2023,C4,Mid-day (11am-1pm),Townsend's Warbler,1,
8,2/27/2023,C2,Evening (3-5pm),Anna's Hummingbird,1,
8,2/27/2023,C2,Evening (3-5pm),Peregrine Falcon,1,
8,2/27/2023,C2,Evening (3-5pm),American Crow,3,
8,2/27/2023,C2,Evening (3-5pm),American Robin,4,
8,2/27/2023,C2,Evening (3-5pm),Cedar Waxwing,1,
8,2/27/2023,C2,Evening (3-5pm),House Finch,2,
9,03/03/2023,A1,Evening (3-5pm),Rock Pigeon,20,
9,03/03/2023,A1,Evening (3-5pm),gull sp.,1,
9,03/03/2023,A1,Evening (3-5pm),American Crow,20,
9,03/03/2023,A1,Evening (3-5pm),Chestnut-backed Chickadee,1,
9,03/03/2023,A1,Evening (3-5pm),House Finch,1,
9,03/03/2023,A1,Evening (3-5pm),Golden-crowned Sparrow,4,
10,03/05/2023,C6,Evening (3-5pm),Anna's Hummingbird,1,
10,03/05/2023,C6,Evening (3-5pm),Western Gull,3,
10,03/05/2023,C6,Evening (3-5pm),gull sp.,2,
10,03/05/2023,C6,Evening (3-5pm),American Crow,1,
10,03/05/2023,C6,Evening (3-5pm),Dark-eyed Junco,2,
11,03/05/2023,C5,Evening (3-5pm),Anna's Hummingbird,1,
11,03/05/2023,C5,Evening (3-5pm),American crow,1,
11,03/05/2023,C5,Evening (3-5pm),Chestnut-backed Chickadee,3,
11,03/05/2023,C5,Evening (3-5pm),Lesser Goldfinch,1,
12,03/05/2023,C4,Evening (3-5pm),Anna's Hummingbird,1,
12,03/05/2023,C4,Evening (3-5pm),American crow,1,
12,03/05/2023,C4,Evening (3-5pm),Oak Titmouse,1,
12,03/05/2023,C4,Evening (3-5pm),American Robin,1,
12,03/05/2023,C4,Evening (3-5pm),Dark-eyed Junco,3,
13,03/06/2023,B4,Mid-day (11am-1pm),Anna's Hummingbird,2,
13,03/06/2023,B4,Mid-day (11am-1pm),accipiter sp.,1,
13,03/06/2023,B4,Mid-day (11am-1pm),American crow,1,
13,03/06/2023,B4,Mid-day (11am-1pm),Common Raven,2,
13,03/06/2023,B4,Mid-day (11am-1pm),Chestnut-backed Chickadee,1,
13,03/06/2023,B4,Mid-day (11am-1pm),House Finch,1,
