Transect #,Date,Route,Time Bin,Species,# Individuals,Notes
1,02/21/2023,C,Evening (3-5pm),Anna's Hummingbird,2,
1,02/21/2023,C,Evening (3-5pm),Turkey Vulture,1,
1,02/21/2023,C,Evening (3-5pm),Black Phoebe,1,
1,02/21/2023,C,Evening (3-5pm),American Crow,4,
1,02/21/2023,C,Evening (3-5pm),Oak Titmouse,1,
1,02/21/2023,C,Evening (3-5pm),Cedar Waxwing,2,
1,02/21/2023,C,Evening (3-5pm),Dark-eyed Junco,3,
2,02/21/2023,B,Evening (3-5pm),Anna's Hummingbird,6,
2,02/21/2023,B,Evening (3-5pm),California Gull,3,
2,02/21/2023,B,Evening (3-5pm),American Crow,15,
2,02/21/2023,B,Evening (3-5pm),Chestnut-backed Chickadee,1,
2,02/21/2023,B,Evening (3-5pm),Oak Titmouse,3,
2,02/21/2023,B,Evening (3-5pm),Ruby-crowned Kinglet,1,
2,02/21/2023,B,Evening (3-5pm),American Robin,8,
2,02/21/2023,B,Evening (3-5pm),Dark-eyed Junco,4,
5,03/01/2023,C,Evening (3-5pm),Anna's Hummingbird,3,
5,03/01/2023,C,Evening (3-5pm),Ring-billed Gull,4,
5,03/01/2023,C,Evening (3-5pm),Western Gull,2,
5,03/01/2023,C,Evening (3-5pm),California Gull,5,
5,03/01/2023,C,Evening (3-5pm),American Crow,4,
5,03/01/2023,C,Evening (3-5pm),Oak Titmouse,1,
5,03/01/2023,C,Evening (3-5pm),Bushtit,3,
5,03/01/2023,C,Evening (3-5pm),American Robin,3,
5,03/01/2023,C,Evening (3-5pm),Cedar Waxwing,12,
5,03/01/2023,C,Evening (3-5pm),Lesser Goldfinch,5,
5,03/01/2023,C,Evening (3-5pm),Dark-eyed Junco,1,
5,03/01/2023,C,Evening (3-5pm),White-crowned Sparrow,2,
5,03/01/2023,C,Evening (3-5pm),California Towhee,1,
5,03/01/2023,C,Evening (3-5pm),Yellow-rumped Warbler,1,
6,03/05/2023,A,Evening (3-5pm),White-throated Sparrow,2,
6,03/05/2023,A,Evening (3-5pm),Rock Pigeon,8,
6,03/05/2023,A,Evening (3-5pm),Anna's Hummingbird,2,
6,03/05/2023,A,Evening (3-5pm),Red-shouldered Hawk,3,
6,03/05/2023,A,Evening (3-5pm),American Crow,12,
6,03/05/2023,A,Evening (3-5pm),Chestnut-backed Chickadee,1,
6,03/05/2023,A,Evening (3-5pm),Oak Titmouse,4,
6,03/05/2023,A,Evening (3-5pm),Western Bluebird,2,
6,03/05/2023,A,Evening (3-5pm),American Robin,3,
6,03/05/2023,A,Evening (3-5pm),Lesser Goldfinch,21,
6,03/05/2023,A,Evening (3-5pm),Dark-eyed Junco,6,
6,03/05/2023,A,Evening (3-5pm),White-crowned Sparrow,6,
6,03/05/2023,A,Evening (3-5pm),Song Sparrow,2,
6,03/05/2023,A,Evening (3-5pm),California Towhee,2,
6,03/05/2023,A,Evening (3-5pm),Yellow-rumped Warbler,26,
7,03/08/2023,B,Mid-day (11am-1pm),Anna's Hummingbird,5,
7,03/08/2023,B,Mid-day (11am-1pm),Red-shouldered Hawk,1,
7,03/08/2023,B,Mid-day (11am-1pm),Black Phoebe,1,
7,03/08/2023,B,Mid-day (11am-1pm),American Crow,6,
7,03/08/2023,B,Mid-day (11am-1pm),Bushtit,1,
7,03/08/2023,B,Mid-day (11am-1pm),Red-crowned Kinglet,2,
7,03/08/2023,B,Mid-day (11am-1pm),American Robin,2,
7,03/08/2023,B,Mid-day (11am-1pm),House Finch ,3,
7,03/08/2023,B,Mid-day (11am-1pm),Lesser Goldfinch,2,
7,03/08/2023,B,Mid-day (11am-1pm),Dark-eyed Junco,8,
7,03/08/2023,B,Mid-day (11am-1pm),Yellow-rumped Warbler,4,
7,03/08/2023,B,Mid-day (11am-1pm),Hermit Thrush,2,
8,03/09/2023,C,Mid-day (11am-1pm),Anna's Hummingbird,2,
8,03/09/2023,C,Mid-day (11am-1pm),American Crow,5,
8,03/09/2023,C,Mid-day (11am-1pm),Chestnut-backed Chickadee,1,
8,03/09/2023,C,Mid-day (11am-1pm),Ruby-crowned Kinglet,1,
8,03/09/2023,C,Mid-day (11am-1pm),House Finch,1,
8,03/09/2023,C,Mid-day (11am-1pm),Lesser Goldfinch,3,
8,03/09/2023,C,Mid-day (11am-1pm),Dark-eyed Junco,3,
9,03/10/2023,B,Mid-day (11am-1pm),Rock Pigeon,2,
9,03/10/2023,B,Mid-day (11am-1pm),Anna's Hummingbird,1,
9,03/10/2023,B,Mid-day (11am-1pm),American Crow,2,
9,03/10/2023,B,Mid-day (11am-1pm),Oak Titmouse,1,
9,03/10/2023,B,Mid-day (11am-1pm),American Robin,1,
9,03/10/2023,B,Mid-day (11am-1pm),House Finch,3,
9,03/10/2023,B,Mid-day (11am-1pm),Lesser Goldfinch,4,
9,03/10/2023,B,Mid-day (11am-1pm),Dark-eyed Junco,1,
9,03/10/2023,B,Mid-day (11am-1pm),California Towhee,2,
